epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
82,1820.62,1.02445,0.55138,1.13208,0.81836,0.68364,0.69025,0.32314,1.90923,0.8422,1.28398,0.000330233,0.000330233,0.000330233
83,1842.74,1.05534,0.5631,1.13011,0.77344,0.67918,0.66308,0.30022,1.92616,0.8721,1.26514,0.000313729,0.000313729,0.000313729
84,1865.08,1.04821,0.55732,1.12667,0.7562,0.6974,0.67853,0.30699,1.90473,0.82811,1.2865,0.000297226,0.000297226,0.000297226
85,1887.54,1.02386,0.54932,1.12057,0.68082,0.73587,0.69666,0.30923,1.93731,0.84258,1.30064,0.000280723,0.000280723,0.000280723
86,1908.75,1.0385,0.54872,1.1152,0.67219,0.74529,0.69197,0.31869,1.92883,0.83394,1.29095,0.00026422,0.00026422,0.00026422
87,1931.55,0.99865,0.53483,1.12589,0.79609,0.63472,0.6648,0.30317,1.90227,0.82914,1.2807,0.000247716,0.000247716,0.000247716
88,1952.77,1.01637,0.54266,1.12643,0.78008,0.63134,0.67201,0.3,1.90527,0.84522,1.28285,0.000231213,0.000231213,0.000231213
89,1975.65,1.01018,0.53243,1.12359,0.7627,0.64054,0.65512,0.2876,1.89548,0.83035,1.27089,0.00021471,0.00021471,0.00021471
90,1996.91,1.0213,0.55006,1.1239,0.79445,0.65466,0.6861,0.30372,1.88237,0.83321,1.27526,0.000198206,0.000198206,0.000198206
91,2021.08,0.98251,0.51573,1.13,0.73273,0.68983,0.6841,0.31787,1.93346,0.85365,1.29009,0.000181703,0.000181703,0.000181703
92,2042.35,1.0079,0.49988,1.11224,0.75438,0.68249,0.68581,0.3148,1.93184,0.85904,1.28907,0.0001652,0.0001652,0.0001652
93,2063.14,0.97931,0.4919,1.11125,0.78411,0.65609,0.6869,0.31161,1.88883,0.83301,1.27118,0.000148696,0.000148696,0.000148696
94,2083.52,0.97427,0.48284,1.11705,0.80726,0.66849,0.68228,0.31426,1.90792,0.841,1.27425,0.000132193,0.000132193,0.000132193
95,2105.54,0.95787,0.48359,1.10046,0.79741,0.60551,0.66417,0.30504,1.90909,0.84301,1.27663,0.00011569,0.00011569,0.00011569
96,2125.86,0.97707,0.48738,1.10435,0.75583,0.65485,0.67623,0.30544,1.94097,0.83791,1.29085,9.91865e-05,9.91865e-05,9.91865e-05
97,2148.07,0.93816,0.46727,1.08762,0.7412,0.67679,0.67589,0.30778,1.91321,0.83493,1.27166,8.26832e-05,8.26832e-05,8.26832e-05
98,2168.27,0.95922,0.47118,1.09517,0.73822,0.69371,0.68768,0.31619,1.93765,0.83574,1.28491,6.61799e-05,6.61799e-05,6.61799e-05
99,2190.15,0.94855,0.46664,1.09279,0.7753,0.65285,0.67787,0.31325,1.90575,0.82681,1.2629,4.96766e-05,4.96766e-05,4.96766e-05
100,2210.79,0.94108,0.46866,1.09882,0.79024,0.66526,0.67654,0.30567,1.90406,0.8261,1.26396,3.31733e-05,3.31733e-05,3.31733e-05
